population	contig	mean_cov	med_cov
B42	4_2	12.6150606980273	12.405
B42	Contig119	8.44086419753086	7.39
B42	Contig79	7.01174418604651	6.845
B42	tig00057289	0.482	0.12
B42	X_1	12.9290514230936	13.06
B43	2L_1	13.3508054237604	13.31
B43	2R_21	13.4927236475117	13.57
B43	3L_1	13.1535462693848	13.21
B43	3R_28	13.3474883014824	13.43
B43	3R_5	5.61617647058824	5.005
B43	4_2	12.9377238239757	12.89
B43	Contig119	1.29938271604938	0
B43	Contig79	12.2461627906977	11.075
B43	tig00057289	3.378	3.11
B43	X_1	12.6964795836852	12.8
B51	2L_1	12.7531670387943	12.64
B51	2R_21	12.8103452965447	12.88
B51	3L_1	12.5288526655962	12.58
B51	3R_28	12.6914881228791	12.75
B51	3R_5	5.48941176470588	4.5
B51	4_2	12.0946965098634	12.265
B51	Contig119	11.5806172839506	8.37
B51	Contig79	7.47360465116279	7.435
B51	tig00057289	4.56	3.52
B51	X_1	12.1403802524365	12.24
B52	2L_1	14.0440052563029	13.97
B52	2R_21	14.3290717562179	14.43
B52	3L_1	13.8536454543607	13.88
B52	3R_28	14.1712680835864	14.23
B52	3R_5	4.73019607843137	4.355
B52	4_2	12.8209673748103	12.94
B52	Contig119	0.891481481481481	0
B52	Contig79	12.1856976744186	13.005
B52	tig00057289	5.066	3.9
B52	X_1	13.3205480108644	13.52
B54	2L_1	14.4981654107359	14.42
B54	2R_21	14.525148560496	14.52
B54	3L_1	14.3445704355603	14.43
B54	3R_28	14.4109946419003	14.49
B54	3R_5	6.63647058823529	6.005
B54	4_2	15.1266691957511	15.035
B54	Contig119	1.67061728395062	0
B54	Contig79	16.368023255814	15.54
B54	tig00057289	4.472	4.46
B54	X_1	13.871577842193	13.79
B59	2L_1	11.4403030514466	11.17
B59	2R_21	10.633072632137	10.29
B59	3L_1	11.2416664295441	11.05
B59	3R_28	10.6902275406323	10.42
B59	3R_5	7.59509803921569	7.115
B59	4_2	16.2043550834598	16.46
B59	Contig119	1.3958024691358	0.09
B59	Contig79	16.8254651162791	14.775
B59	tig00057289	2.014	1.39
B59	X_1	10.1952660169356	9.83
I01	2L_1	15.5300288398921	15.19
I01	2R_21	15.4619530691746	15.3
I01	3L_1	15.1161882888559	15.13
I01	3R_28	15.160678871227	15.22
I01	3R_5	6.34117647058823	6.47
I01	4_2	17.3453641881639	15.7
I01	Contig119	1.4979012345679	0
I01	Contig79	16.1067441860465	15.22
I01	tig00057289	5.76	5.6
I01	X_1	14.6813692283112	14.46
I02	2L_1	15.423054702763	15.25
I02	2R_21	15.0274118894498	15.04
I02	3L_1	15.301866831975	15.28
I02	3R_28	15.0664877656724	15.06
I02	3R_5	8.84647058823529	8.28
I02	4_2	16.878535660091	17.64
I02	Contig119	13.1320987654321	8.79
I02	Contig79	10.41	10.705
I02	tig00057289	9.466	8.65
