population	centromere	mean_cov	med_cov
857	eu	22.4104611396569	22.09
882	cent	7.57270072992701	4.665
882	eu	17.7747606283532	17.72
887	cent	8.22956204379562	7.33
887	eu	19.3211367159765	19.21
892	cent	3.77744525547445	1.67
892	eu	21.9865125473177	21.88
894	cent	12.8612773722628	11.11
894	eu	16.1178903364857	15.66
897	cent	10.2498905109489	6.825
897	eu	24.3921155453976	24.77
900	cent	39.3216423357664	33.63
900	eu	59.1176198118638	59.28
907	cent	14.9983211678832	12.875
907	eu	17.507154134754	17.36
908	cent	18.8840145985401	13.9
908	eu	19.2765682571559	18.94
913	cent	32.0788321167883	28.785
913	eu	48.7102000260483	49.06
93	cent	5.91810218978102	3.345
93	eu	15.3788889542431	15.51
