source	population	centromere	mean_cov	med_cov
GDL	I04	cent	6.436350365	5.995
GDL	I04	eu	11.29236763	11.35
GDL	I07	cent	7.225620438	6.225
GDL	I07	eu	13.80188287	13.89
GDL	I13	cent	8.431240876	7.12
GDL	I13	eu	15.52070839	15.52
GDL	I16	cent	9.291605839	7.16
GDL	I16	eu	10.37317886	10.13
GDL	I17	cent	6.88080292	5.43
GDL	I17	eu	16.08275348	16.05
GDL	I22	cent	8.232846715	7.71
GDL	I22	eu	14.38481999	14.48
GDL	I23	cent	8.084489051	6.835
GDL	I23	eu	15.85997706	15.96
GDL	I24	cent	9.556167883	8.56
GDL	I24	eu	14.19377004	14.28
GDL	I29	cent	7.499051095	7.145
GDL	I29	eu	16.27638243	16.42
GDL	I31	cent	7.092627737	5.995
GDL	I31	eu	12.42416421	12.51
GDL	I33	cent	6.538649635	5.9
GDL	I33	eu	12.21602901	12.28
GDL	I35	cent	5.751021898	5.385
GDL	I35	eu	12.40884732	12.51
GDL	I38	cent	8.194671533	7.545
GDL	I38	eu	14.18328054	14.29
GDL	N01	cent	7.059124088	6.77
GDL	N01	eu	12.40370273	12.34
GDL	N02	cent	8.106277372	7.895
GDL	N02	eu	13.34494284	13.25
GDL	N03	cent	7.645766423	7.03
GDL	N03	eu	12.22519555	12.16
GDL	N04	cent	8.710109489	7.195
GDL	N04	eu	12.53884341	12.44
GDL	N07	cent	7.572335766	7.4
GDL	N07	eu	12.15138926	12.05
GDL	N10	cent	8.97540146	7.97
GDL	N10	eu	12.85769829	12.79
GDL	N11	cent	7.162080292	6.37
GDL	N11	eu	11.86456615	11.78
GDL	N14	cent	7.369781022	6.42
GDL	N14	eu	11.97878018	11.89
GDL	N15	cent	7.319744526	5.94
GDL	N15	eu	10.0158539	9.95
GDL	N16	cent	8.447591241	6.69
GDL	N16	eu	12.48794163	12.36
GDL	N17	cent	8.513759124	8.085
GDL	N17	eu	12.48828123	12.35
GDL	N18	cent	7.420766423	6.98
GDL	N18	eu	12.41966818	12.27
